Temperature: 17
Humidity: 25
Water amount: 986451
Animals:
1. Name: tiger, Species: Carnivore, Food Chain Level: Tertiary, Energy: 130, Average Lifespan: 87600 hours, Age: 44808 hours, Count: 1
139. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 131400 hours, Age: 72 hours, Count: 1
140. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 131400 hours, Age: 48 hours, Count: 1
141. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 131400 hours, Age: 48 hours, Count: 1
142. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 175200 hours, Age: 24 hours, Count: 1
143. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 131400 hours, Age: 24 hours, Count: 1
144. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 131400 hours, Age: 24 hours, Count: 1
Plants:
1. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
2. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
3. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
4. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
5. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
6. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
7. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
8. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
9. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
10. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
11. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
12. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
13. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
14. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
15. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
16. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
17. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
18. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
19. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
20. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
21. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
22. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
23. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
24. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
25. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
26. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
27. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
28. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
29. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
30. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
31. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
32. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
33. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
34. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
35. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
36. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
37. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
38. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
39. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
40. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
41. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
42. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
43. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
44. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
45. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
46. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
47. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
48. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
49. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
50. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
51. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
52. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
53. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
54. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
55. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
56. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
57. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
58. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
59. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
60. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
61. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
62. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
63. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
64. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
65. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
66. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
67. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
68. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
69. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
70. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
71. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
72. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
73. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
74. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
75. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
76. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
77. Name: raspberry, Growth Level: 18, Water Needs: 3 per day, Optimal Temperature: 17 degrees, Count: 1
